date,airnow_no2
2024-03-26,6.220728
2024-03-27,7.2528534
2024-03-28,6.889611
2024-03-29,6.2399173
2024-03-30,4.6997094
2024-03-31,5.1807184
2024-04-01,6.4684625
2024-04-02,7.8636856
2024-04-03,7.7286854
2024-04-04,6.1151085
2024-04-05,4.406228
2024-04-06,4.6821423
2024-04-07,5.3285108
2024-04-08,6.7540765
2024-04-09,7.0076423
2024-04-10,4.972639
2024-04-11,9.636137
2024-04-12,7.633861
2024-04-13,4.86623
2024-04-14,5.2444606
2024-04-15,5.3425694
2024-04-16,6.579101
2024-04-17,7.966538
2024-04-18,7.5610447
2024-04-19,6.8813252
2024-04-20,6.373056
2024-04-21,5.6742973
2024-04-22,6.768268
2024-04-23,5.9659305
2024-04-24,6.1464868
2024-04-25,5.248299
2024-04-26,4.7404304
2024-04-27,4.0181146
2024-04-28,4.4078937
2024-04-29,5.9457736
2024-04-30,5.971098
2024-05-01,6.452609
2024-05-02,5.997288
2024-05-03,5.999045
2024-05-04,5.5234838
2024-05-05,3.7376175
2024-05-06,4.4422626
2024-05-07,5.785392
2024-05-08,5.138033
2024-05-09,5.8933463
2024-05-10,6.619421
2024-05-11,6.3524528
2024-05-12,4.8540664
2024-05-13,5.867491
2024-05-14,5.780437
2024-05-15,5.747029
2024-05-16,5.3609138
2024-05-17,5.195112
2024-05-18,4.5914207
2024-05-19,3.6906555
2024-05-20,4.6190987
2024-05-21,5.265281
2024-05-22,5.8510704
2024-05-23,4.8838143
2024-05-24,5.1283255
2024-05-25,3.6057942
2024-05-26,3.4467676
2024-05-27,4.89625
2024-05-28,4.174497
2024-05-29,5.235095
2024-05-30,5.802753
2024-05-31,6.4336467
2024-06-01,5.336008
2024-06-02,3.4079182
2024-06-03,5.056852
2024-06-04,4.7544312
2024-06-05,5.8123894
2024-06-06,6.1325474
2024-06-07,5.839976
2024-06-08,5.1487594
2024-06-09,4.2424865
2024-06-10,4.979492
2024-06-11,6.4806733
2024-06-12,5.833489
2024-06-13,6.26323
2024-06-14,5.4520326
2024-06-15,5.3010716
2024-06-16,4.001414
2024-06-17,4.498335
2024-06-18,4.502153
2024-06-19,5.474727
2024-06-20,6.2975097
2024-06-21,6.722639
2024-06-22,6.2487845
2024-06-23,5.799412
2024-06-24,5.338362
2024-06-25,6.265234
2024-06-26,6.197408
2024-06-27,5.0188394
2024-06-28,5.0157657
2024-06-29,5.2832603
2024-06-30,4.647594
2024-07-01,4.8013678
2024-07-02,5.6759434
2024-07-03,6.929418
2024-07-04,5.659844
2024-07-05,6.4484534
2024-07-06,5.7074304
2024-07-07,5.3535438
2024-07-08,6.608215
2024-07-09,7.617174
2024-07-10,7.815561
2024-07-11,7.3697
2024-07-12,7.2293415
2024-07-13,6.2475986
2024-07-14,4.748944
2024-07-15,5.1553764
2024-07-16,5.9762044
2024-07-17,6.7292824
2024-07-18,6.236751
2024-07-19,6.488464
2024-07-20,6.5301557
2024-07-21,5.136492
2024-07-22,5.8788486
2024-07-23,6.309618
2024-07-24,6.7218757
2024-07-25,6.000322
2024-07-26,6.1338277
2024-07-27,5.189484
2024-07-28,4.4337687
2024-07-29,5.7333217
2024-07-30,5.9773808
2024-07-31,6.3522077
2024-08-01,7.0673137
2024-08-02,7.682072
2024-08-03,6.669878
2024-08-04,5.3651958
2024-08-05,6.4584866
2024-08-06,6.215264
2024-08-07,6.5222974
2024-08-08,6.7876873
2024-08-09,7.052051
2024-08-10,6.21587
2024-08-11,4.7335544
2024-08-12,5.3035455
2024-08-13,5.3804383
2024-08-14,5.9786167
2024-08-15,6.702574
2024-08-16,6.4946694
2024-08-17,5.0993943
2024-08-18,4.002005
2024-08-19,6.192541
2024-08-20,7.2392464
2024-08-21,6.6060424
2024-08-22,5.6821613
2024-08-23,5.5770307
2024-08-24,4.191455
2024-08-25,4.141317
2024-08-26,6.4714646
2024-08-27,7.177742
2024-08-28,6.7090745
2024-08-29,6.617929
2024-08-30,7.3771863
2024-08-31,7.0802035
2024-09-01,6.2823844
2024-09-02,5.130281
2024-09-03,6.443619
2024-09-04,7.985346
2024-09-05,9.003119
2024-09-06,9.899104
2024-09-07,8.408853
2024-09-08,7.437739
2024-09-09,8.286735
2024-09-10,7.9838176
2024-09-11,6.7231293
2024-09-12,5.828056
2024-09-13,6.6649303
2024-09-14,6.1764064
2024-09-15,4.4863324
2024-09-16,4.8223815
2024-09-17,5.506004
2024-09-18,6.996927
2024-09-19,6.95928
2024-09-20,6.533222
2024-09-21,6.267124
2024-09-22,6.302564
2024-09-23,8.04848
2024-09-24,9.241417
2024-09-25,8.675968
2024-09-26,7.469759
2024-09-27,9.127672
2024-09-28,9.049866
2024-09-29,5.8828945
2024-09-30,8.569026
